distance_m,radial_velocity_mps,launch_angle_deg,pivot_output_rotations,ball_speed_mps,wheel_rps,tof_s,robust_margin_m
4.5,2.5,36.0,0.11244444444444444,8.0,43.44386898046487,0.5015528100075709,-0.3
4.5,3.0,35.0,0.11522222222222223,8.0,43.44386898046487,0.4710455445687548,-0.323106914647485
4.75,-3.0,31.5,0.12494444444444444,11.8,64.07970674618569,0.6726945823274632,-0.3
4.75,-2.5,30.0,0.1291111111111111,10.9,59.192271485883396,0.6844699065376014,-0.2439473724510115
4.75,-2.0,30.0,0.1291111111111111,10.7,58.10617476137176,0.6536872525403133,-0.20775739009513972
4.75,-1.5,31.0,0.12633333333333333,10.4,56.47702967460434,0.6406331406362051,-0.18327585095712995
4.75,-1.0,32.0,0.12355555555555556,10.0,54.30483622558109,0.6349859085807655,-0.18070852746209365
4.75,-0.5,33.5,0.11938888888888889,9.6,52.132642776557844,0.6328857656465184,-0.16681589968388
4.75,0.0,34.5,0.11661111111111111,9.3,50.50349768979042,0.6197505858005187,-0.15353483599432005
4.75,0.5,36.5,0.11105555555555556,8.9,48.33130424076717,0.620564104936298,-0.1287596601745653
4.75,1.0,38.5,0.1055,8.5,46.15911079174393,0.620739007873651,-0.12139782592822757
4.75,1.5,41.0,0.09855555555555556,8.1,43.98691734272068,0.6239206501292588,-0.1269424996907591
4.75,2.0,38.0,0.1068888888888889,8.0,43.44386898046487,0.5720075615179591,-0.25494755597859675
4.75,2.5,36.5,0.11105555555555556,8.0,43.44386898046487,0.5318639773232767,-0.3
4.75,3.0,36.0,0.11244444444444444,8.0,43.44386898046487,0.5014708427503995,-0.3
5.0,-3.0,30.0,0.1291111111111111,12.2,66.25190019520892,0.6608939845157435,-0.3
5.0,-2.5,30.0,0.1291111111111111,11.0,59.7353198481392,0.7116141681437174,-0.26941123365144404
5.0,-2.0,30.0,0.1291111111111111,10.8,58.64922312362758,0.679987683329656,-0.2365883503032249
5.0,-1.5,30.0,0.1291111111111111,10.7,58.10617476137176,0.6437929751842314,-0.18294708581910668
5.0,-1.0,30.5,0.1277222222222222,10.4,56.47702967460434,0.6280662769858426,-0.18363821736694774
5.0,-0.5,32.0,0.12355555555555556,10.0,54.30483622558109,0.6265286546113064,-0.15766132630767915
5.0,0.0,33.5,0.11938888888888889,9.6,52.132642776557844,0.6245859079870302,-0.14515597838846572
5.0,0.5,35.0,0.11522222222222223,9.2,49.9604493275346,0.6221847069486752,-0.1456438009454284
5.0,1.0,37.0,0.10966666666666666,8.8,47.788255878511364,0.6228207123031871,-0.12579823071621465
5.0,1.5,38.5,0.1055,8.5,46.15911079174393,0.6133336778971709,-0.1191863852091608
5.0,2.0,40.5,0.09994444444444445,8.1,43.98691734272068,0.6127985435825903,-0.11473391393413834
5.0,2.5,37.5,0.10827777777777778,8.0,43.44386898046487,0.5651744017298002,-0.2742799799089273
5.0,3.0,36.5,0.11105555555555556,8.0,43.44386898046487,0.5301746300842387,-0.3
